Train_name,Station_name,Arrive_time,Departure_time,direction
1,Tiantongyuanbei,----,5:20,1
1,Songjiazhuang,6:05,----,1
2,Tiantongyuanbei,#VALUE!,7:00,1
2,Songjiazhuang,7:45,#VALUE!,1
3,Tiantongyuanbei,#VALUE!,8:20,1
3,Songjiazhuang,9:05,#VALUE!,1
4,Tiantongyuanbei,#VALUE!,9:40,1
4,Songjiazhuang,10:25,#VALUE!,1
5,Tiantongyuanbei,#VALUE!,11:20,1
5,Songjiazhuang,12:05,#VALUE!,1
6,Tiantongyuanbei,#VALUE!,13:00,1
6,Songjiazhuang,13:45,#VALUE!,1
7,Tiantongyuanbei,#VALUE!,14:40,1
7,Songjiazhuang,15:25,#VALUE!,1
8,Tiantongyuanbei,#VALUE!,16:20,1
8,Songjiazhuang,17:05,#VALUE!,1
9,Tiantongyuanbei,#VALUE!,17:40,1
9,Songjiazhuang,18:25,#VALUE!,1
10,Tiantongyuanbei,#VALUE!,19:00,1
10,Songjiazhuang,19:45,#VALUE!,1
11,Tiantongyuanbei,#VALUE!,20:40,1
11,Songjiazhuang,21:25,#VALUE!,1
12,Tiantongyuanbei,#VALUE!,22:20,1
12,Songjiazhuang,23:05,#VALUE!,1
13,Songjiazhuang,----,5:20,0
13,Tiantongyuanbei,6:05,----,0
14,Songjiazhuang,#VALUE!,7:00,0
14,Tiantongyuanbei,7:45,#VALUE!,0
15,Songjiazhuang,#VALUE!,8:20,0
15,Tiantongyuanbei,9:05,#VALUE!,0
16,Songjiazhuang,#VALUE!,9:40,0
16,Tiantongyuanbei,10:25,#VALUE!,0
17,Songjiazhuang,#VALUE!,11:20,0
17,Tiantongyuanbei,12:05,#VALUE!,0
18,Songjiazhuang,#VALUE!,13:00,0
18,Tiantongyuanbei,13:45,#VALUE!,0
19,Songjiazhuang,#VALUE!,14:40,0
19,Tiantongyuanbei,15:25,#VALUE!,0
20,Songjiazhuang,#VALUE!,16:20,0
20,Tiantongyuanbei,17:05,#VALUE!,0
21,Songjiazhuang,#VALUE!,17:40,0
21,Tiantongyuanbei,18:25,#VALUE!,0
22,Songjiazhuang,#VALUE!,19:00,0
22,Tiantongyuanbei,19:45,#VALUE!,0
23,Songjiazhuang,#VALUE!,20:40,0
23,Tiantongyuanbei,21:25,#VALUE!,0
24,Songjiazhuang,#VALUE!,22:20,0
24,Tiantongyuanbei,23:05,#VALUE!,0
