Train_name,Station_name,Arrive_time,Departure_time,direction
1,Tiantongyuanbei,----,5:20,1
1,Songjiazhuang,6:05,----,1
2,Tiantongyuanbei,#VALUE!,5:40,1
2,Songjiazhuang,6:25,#VALUE!,1
3,Tiantongyuanbei,#VALUE!,6:00,1
3,Songjiazhuang,6:45,#VALUE!,1
4,Tiantongyuanbei,#VALUE!,6:20,1
4,Songjiazhuang,7:05,#VALUE!,1
5,Tiantongyuanbei,#VALUE!,6:40,1
5,Songjiazhuang,7:25,#VALUE!,1
6,Tiantongyuanbei,#VALUE!,7:00,1
6,Songjiazhuang,7:45,#VALUE!,1
7,Tiantongyuanbei,#VALUE!,7:10,1
7,Songjiazhuang,7:55,#VALUE!,1
8,Tiantongyuanbei,#VALUE!,7:20,1
8,Songjiazhuang,8:05,#VALUE!,1
9,Tiantongyuanbei,#VALUE!,7:30,1
9,Songjiazhuang,8:15,#VALUE!,1
10,Tiantongyuanbei,#VALUE!,7:40,1
10,Songjiazhuang,8:25,#VALUE!,1
11,Tiantongyuanbei,#VALUE!,7:50,1
11,Songjiazhuang,8:35,#VALUE!,1
12,Tiantongyuanbei,#VALUE!,8:00,1
12,Songjiazhuang,8:45,#VALUE!,1
13,Tiantongyuanbei,#VALUE!,8:10,1
13,Songjiazhuang,8:55,#VALUE!,1
14,Tiantongyuanbei,#VALUE!,8:20,1
14,Songjiazhuang,9:05,#VALUE!,1
15,Tiantongyuanbei,#VALUE!,8:30,1
15,Songjiazhuang,9:15,#VALUE!,1
16,Tiantongyuanbei,----,8:40,1
16,Songjiazhuang,9:25,#VALUE!,1
17,Tiantongyuanbei,#VALUE!,8:50,1
17,Songjiazhuang,9:35,#VALUE!,1
18,Tiantongyuanbei,#VALUE!,9:00,1
18,Songjiazhuang,9:45,#VALUE!,1
19,Tiantongyuanbei,#VALUE!,9:20,1
19,Songjiazhuang,10:05,#VALUE!,1
20,Tiantongyuanbei,#VALUE!,9:40,1
20,Songjiazhuang,10:25,#VALUE!,1
21,Tiantongyuanbei,#VALUE!,10:00,1
21,Songjiazhuang,10:45,#VALUE!,1
22,Tiantongyuanbei,----,10:20,1
22,Songjiazhuang,11:05,#VALUE!,1
23,Tiantongyuanbei,#VALUE!,10:40,1
23,Songjiazhuang,11:25,#VALUE!,1
24,Tiantongyuanbei,#VALUE!,11:00,1
24,Songjiazhuang,11:45,#VALUE!,1
25,Tiantongyuanbei,#VALUE!,11:20,1
25,Songjiazhuang,12:05,#VALUE!,1
26,Tiantongyuanbei,#VALUE!,11:40,1
26,Songjiazhuang,12:25,#VALUE!,1
27,Tiantongyuanbei,#VALUE!,12:00,1
27,Songjiazhuang,12:45,#VALUE!,1
28,Tiantongyuanbei,#VALUE!,12:20,1
28,Songjiazhuang,13:05,#VALUE!,1
29,Tiantongyuanbei,#VALUE!,12:40,1
29,Songjiazhuang,13:25,#VALUE!,1
30,Tiantongyuanbei,#VALUE!,13:00,1
30,Songjiazhuang,13:45,#VALUE!,1
31,Tiantongyuanbei,#VALUE!,13:20,1
31,Songjiazhuang,14:05,#VALUE!,1
32,Tiantongyuanbei,#VALUE!,13:40,1
32,Songjiazhuang,14:25,#VALUE!,1
33,Tiantongyuanbei,#VALUE!,14:00,1
33,Songjiazhuang,14:45,#VALUE!,1
34,Tiantongyuanbei,#VALUE!,14:20,1
34,Songjiazhuang,15:05,#VALUE!,1
35,Tiantongyuanbei,----,14:40,1
35,Songjiazhuang,15:25,#VALUE!,1
36,Tiantongyuanbei,#VALUE!,15:00,1
36,Songjiazhuang,15:45,#VALUE!,1
37,Tiantongyuanbei,#VALUE!,15:20,1
37,Songjiazhuang,16:05,#VALUE!,1
38,Tiantongyuanbei,#VALUE!,15:40,1
38,Songjiazhuang,16:25,#VALUE!,1
39,Tiantongyuanbei,#VALUE!,16:00,1
39,Songjiazhuang,16:45,#VALUE!,1
40,Tiantongyuanbei,#VALUE!,16:20,1
40,Songjiazhuang,17:05,#VALUE!,1
41,Tiantongyuanbei,#VALUE!,16:40,1
41,Songjiazhuang,17:25,#VALUE!,1
42,Tiantongyuanbei,#VALUE!,17:00,1
42,Songjiazhuang,17:45,#VALUE!,1
43,Tiantongyuanbei,#VALUE!,17:10,1
43,Songjiazhuang,17:55,#VALUE!,1
44,Tiantongyuanbei,#VALUE!,17:20,1
