Train_name,Station_name,Arrive_time,Departure_time,direction
1,天通苑北,----,5:20,1
1,宋家庄,6:05,----,1
2,天通苑北,#VALUE!,6:00,1
2,宋家庄,6:45,#VALUE!,1
3,天通苑北,#VALUE!,6:40,1
3,宋家庄,7:25,#VALUE!,1
4,天通苑北,#VALUE!,7:20,1
4,宋家庄,8:05,#VALUE!,1
5,天通苑北,#VALUE!,8:00,1
5,宋家庄,8:45,#VALUE!,1
6,天通苑北,#VALUE!,8:40,1
6,宋家庄,9:25,#VALUE!,1
7,天通苑北,#VALUE!,9:20,1
7,宋家庄,10:05,#VALUE!,1
8,天通苑北,#VALUE!,10:00,1
8,宋家庄,10:45,#VALUE!,1
9,天通苑北,#VALUE!,10:40,1
9,宋家庄,11:25,#VALUE!,1
10,宋家庄,----,5:20,0
10,天通苑北,6:05,----,0
11,宋家庄,#VALUE!,6:00,0
11,天通苑北,6:45,#VALUE!,0
12,宋家庄,#VALUE!,6:40,0
12,天通苑北,7:25,#VALUE!,0
13,宋家庄,#VALUE!,7:20,0
13,天通苑北,8:05,#VALUE!,0
14,宋家庄,#VALUE!,8:00,0
14,天通苑北,8:45,#VALUE!,0
15,宋家庄,#VALUE!,8:40,0
15,天通苑北,9:25,#VALUE!,0
16,宋家庄,#VALUE!,9:20,0
16,天通苑北,10:05,#VALUE!,0
17,宋家庄,#VALUE!,10:00,0
17,天通苑北,10:45,#VALUE!,0
18,宋家庄,#VALUE!,10:40,0
18,天通苑北,11:25,#VALUE!,0
