Train_name,Station_name,Arrive_time,Departure_time,direction
1,天通苑北,----,6:00,1
1,宋家庄,6:45,----,1
2,天通苑北,#VALUE!,6:08,1
2,宋家庄,6:53,#VALUE!,1
3,天通苑北,#VALUE!,6:16,1
3,宋家庄,7:01,#VALUE!,1
4,天通苑北,#VALUE!,6:24,1
4,宋家庄,7:09,#VALUE!,1
5,天通苑北,#VALUE!,6:32,1
5,宋家庄,7:17,#VALUE!,1
6,天通苑北,#VALUE!,6:40,1
6,宋家庄,7:25,#VALUE!,1
7,天通苑北,#VALUE!,6:48,1
7,宋家庄,7:33,#VALUE!,1
8,天通苑北,#VALUE!,6:56,1
8,宋家庄,7:41,#VALUE!,1
9,天通苑北,#VALUE!,7:04,1
9,宋家庄,7:49,#VALUE!,1
10,天通苑北,#VALUE!,7:12,1
10,宋家庄,7:57,#VALUE!,1
11,天通苑北,#VALUE!,7:20,1
11,宋家庄,8:05,#VALUE!,1
12,天通苑北,#VALUE!,7:28,1
12,宋家庄,8:13,#VALUE!,1
13,天通苑北,#VALUE!,7:36,1
13,宋家庄,8:21,#VALUE!,1
14,天通苑北,#VALUE!,7:44,1
14,宋家庄,8:29,#VALUE!,1
15,天通苑北,#VALUE!,7:52,1
15,宋家庄,8:37,#VALUE!,1
16,天通苑北,#VALUE!,8:00,1
16,宋家庄,8:45,#VALUE!,1
17,天通苑北,#VALUE!,8:08,1
17,宋家庄,8:53,#VALUE!,1
18,天通苑北,#VALUE!,8:16,1
18,宋家庄,9:01,#VALUE!,1
19,天通苑北,#VALUE!,8:24,1
19,宋家庄,9:09,#VALUE!,1
20,天通苑北,#VALUE!,8:32,1
20,宋家庄,9:17,#VALUE!,1
21,天通苑北,#VALUE!,8:40,1
21,宋家庄,9:25,#VALUE!,1
22,天通苑北,#VALUE!,8:48,1
22,宋家庄,9:33,#VALUE!,1
23,天通苑北,#VALUE!,8:56,1
23,宋家庄,9:41,#VALUE!,1
24,天通苑北,#VALUE!,9:04,1
24,宋家庄,9:49,#VALUE!,1
25,天通苑北,#VALUE!,9:12,1
25,宋家庄,9:57,#VALUE!,1
26,天通苑北,#VALUE!,9:20,1
26,宋家庄,10:05,#VALUE!,1
27,天通苑北,#VALUE!,9:28,1
27,宋家庄,10:13,#VALUE!,1
28,天通苑北,#VALUE!,9:36,1
28,宋家庄,10:21,#VALUE!,1
29,天通苑北,#VALUE!,9:44,1
29,宋家庄,10:29,#VALUE!,1
